operation,fft_size,shape,batch_size,runtime,speedup
cuFFT,8,256,1048576,0.003187,1.0
tcFFT,8,256,1048576,0.002534,1.2576953433307025
M$^3$XU,8,256,1048576,0.002253,1.4145583666222816
cuFFT,9,512,1048576,0.006244,1.0
tcFFT,9,512,1048576,0.005148,1.212898212898213
M$^3$XU,9,512,1048576,0.003133,1.9929779763804663
cuFFT,10,1024,1048576,0.012426,1.0
tcFFT,10,1024,1048576,0.010206,1.2175191064079953
M$^3$XU,10,1024,1048576,0.010499,1.183541289646633
cuFFT,17,131072,2048,0.006381,1.0
tcFFT,17,131072,2048,0.006572,0.970937309799148
M$^3$XU,17,131072,2048,0.003876,1.6462848297213624
cuFFT,18,262144,2048,0.012445,1.0
tcFFT,18,262144,2048,0.01418,0.8776445698166432
M$^3$XU,18,262144,2048,0.008242,1.509949041494783
cuFFT,19,524288,2048,0.025192,1.0
tcFFT,19,524288,2048,0.028321,0.8895166131139437
M$^3$XU,19,524288,2048,0.020652,1.2198334301762541
cuFFT,24,16777216,8,0.00476,1.0
tcFFT,24,16777216,8,0.00522,0.9118773946360155
M$^3$XU,24,16777216,8,0.003466,1.3733410271206004
cuFFT,25,33554432,8,0.010681,1.0
tcFFT,25,33554432,8,0.01059,1.0085930122757318
M$^3$XU,25,33554432,8,0.006287,1.6989024972164783
cuFFT,26,67108864,8,0.021093,1.0
tcFFT,26,67108864,8,0.021967,0.9602130468429918
M$^3$XU,26,67108864,8,0.012837,1.6431409207758823
cuFFT,27,134217728,8,0.042859,1.0
tcFFT,27,134217728,8,0.046663,0.9184793090885712
M$^3$XU,27,134217728,8,0.026664,1.6073732373237324
cuFFT,Mean,0,0,0.0,1.0
tcFFT,Mean,0,0,0.0,1.0225373918209955
M$^3$XU,Mean,0,0,0.0,1.5289902616478475
